Suffix,City,Inhabitant_term,Country
ense,Jequitinhonha,Jequitinhonhense,Brazil
esi,Ventimiglia,Ventimigliesi,Italy
ino,Quellon,Quellonino,Chile
esi,Capoterra,Capoterresi,Italy
esi,Mirandola,Mirandolesi,Italy
er,Elburg,Elburger,Netherlands
er,Yukon,Yukoner,United States
ese,Lentini,Lentinese,Italy
ni,Floridia,Floridiani,Italy
ite,Moskva,Muscovite,Tajikistan
dos,Esparraguera,Esparregados,Spain
ense,Agrestina,Agrestinense,Brazil
esi,Massarosa,Massarosesi,Italy
eano,Moguer,Moguereano,Spain
tani,Amalfi,Amalfitani,Colombia
esi,Sondrio,Sondriesi,Italy
ese,Pachino,Pachinese,Italy
ense,Umbauba,Umbaubense,Brazil
ini,Ginosa,Ginosini,Italy
ese,Borgomanero,Borgomanerese,Italy
ense,Carai,caraiense,Brazil
an,Colorado,Coloradan,Brazil
esi,Palestrina,Palestrinesi,Italy
er,Woensdrecht,Woensdrechter,Netherlands
ian,Corinth,Corinthian,United States
ense,Itamaraca,Itamaracaense,Brazil
naar,Zundert,Zundertenaar,Netherlands
ese,Cortona,Cortonese,Italy
ini,Isernia,Isernini,Italy
esi,Corciano,Corcianesi,Italy
eano,Nerja,Nerjeano,Spain
er,Leerdam,Leerdammer,Netherlands
esi,Grottaferrata,Grottaferratesi,Italy
ing,Elverum,Elverumsing,Norway
ini,Colleferro,Colleferrini,Italy
esi,Recanati,Recanatesi,Italy
enc,Puzol,Puzolenc,Spain
er,Bulach,Bulacher,Switzerland
nian,Westborough,Westboronian,United States
aar,Brummen,Brummenaar,Netherlands
ian,Baroda,Barodian,India
ano,Serro,serrano,Brazil
esi,Giovinazzo,Giovinazzesi,Italy
ero,Cartaya,cartayero,Spain
esi,Cittadella,Cittadellesi,Italy
ani,Gaeta,Gaetani,Italy
ani,Sabaudia,Sabaudiani,Italy
aar,Rhenen,Rhenenaar,Netherlands
esi,Acri,Acresi,Italy
eano,Torrox,Torroxeano,Spain
esi,Melzo,Melzesi,Italy
ero,Chipiona,Chipionero,Spain
ense,Guapiacu,Guapiacuense,Brazil
anon,Malabuyoc,Malabuyocanon,Philippines
ian,Oregon,Oregonian,United States
ian,Kittur,Kitturian,India
esi,Signa,Signesi,Italy
ano,Atarfe,Atarfeano,Spain
ini,Ariccia,Ariccini,Italy
ense,Piratini,Piratinense,Brazil
ini,Pescia,Pesciatini,Italy
eano,Cabusao,Cabusaoeano,Philippines
i,Keszthely,keszthelyi,Hungary
esi,Adria,Adriesi,Italy
er,Yellowknife,Yellowknifer,Canada
tano,Paraisopolis,paraisopolitano,Brazil
ani,Scorze,Scorzetani,Italy
esi,Agliana,Aglianesi,Italy
ense,Umburanas,umburanense,Brazil
naar,Oirschot,Oirschottenaar,Netherlands
naar,Heerde,Heerdenaar,Netherlands
er,Laives,Leiferer,Italy
ni,Capua,Capuani,Italy
eano,Tarifa,Tarifeano,Spain
esi,Budrio,Budriesi,Italy
er,Kristiansund,Kristiansunder,Norway
esi,Zagarolo,Zagarolesi,Italy
esi,Villorba,Villorbesi,Italy
esi,Piossasco,Piossaschesi,Italy
ano,Baependi,baependiano,Brazil
nian,Wantagh,Wantonian,United States
aar,Naarden,Naardenaar,Netherlands
lvi,Ambala,Ambalvi,India
esi,Alpignano,Alpignanesi,Italy
ino,Sangenjo,Lilaino,Spain
esi,Marcon,Marconesi,Italy
esi,Maranello,Maranellesi,Italy
ini,Sorrento,Sorrentini,Italy
rra,Munguia,mungiarra,Spain
esi,Baronissi,Baronissesi,Italy
eano,Jovellar,Jovellareano,Philippines
esi,Pianoro,Pianoresi,Italy
eano,Humacao,Humacaeano,Puerto Rico
esi,Vimodrone,Vimodronesi,Italy
ter,Zandvoort,Zandvoorter,Netherlands
esi,Adelfia,Adelfiesi,Italy
er,Niagara-on-the-Lake,Niagara-on-the-Laker,Canada
ense,Osuna,Ursaonense,Spain
ano,Zarumilla,Zarumillano,Peru
ite,Brenham,Brenhamite,United States
esi,Saviano,Savianesi,Italy
esi,Bareggio,Bareggesi,Italy
esi,Carovigno,Carovignesi,Italy
tar,Bermeo,bermeotar,Spain
gos,Pozoblanco,Tarugos,Spain
ese,Saluzzo,Saluzzese,Italy
ense,Belterra,belterrense,Brazil
esi,Grottammare,Grottammaresi,Italy
er,Middelfart,Middelfarter,Denmark
ese,Malta,Maltese,United States
esi,Giaveno,Giavenesi,Italy
aar,Heumen,Heumenaar,Netherlands
esi,Medicina,Medicinesi,Italy
esi,Locarno,Locarnesi,Switzerland
n,Laconia,Laconian,United States
soking,Rygge,Ryggesokning,Norway
ini,Todi,Todini,Italy
ian,Bolivia,Bolivian,Cuba
ing,Honefoss,Honefossing,Norway
ois,Saint-Amand-les-Eaux,Amandinois,France
eano,Panukulan,Panukuleano,Philippines
esi,Copparo,Copparesi,Italy
esi,Tarquinia,Tarquiniesi,Italy
aise,Guerande,Guerandaise,France
esi,Ospitaletto,Ospitalettesi,Italy
ian,Leixlip,Leixlipian,Ireland
esi,Merate,Meratesi,Italy
esi,Pianezza,Pianezzesi,Italy
esi,Certaldo,Certaldesi,Italy
eano,Alpedrete,Alpedreteano,Spain
ian,Lewes,Lewesian,United Kingdom
esi,Valmontone,Valmontonesi,Italy
er,Bentheim,Bentheimer,Germany
esi,Rescaldina,Rescaldinesi,Italy
esi,Mottola,Mottolesi,Italy
er,Nuth,Nutter,Netherlands
ing,Voss,Vossing,Norway
ini,Casalpusterlengo,Casalini,Italy
ini,Surbo,Surbini,Italy
er,Bunnik,Bunniker,Netherlands
esi,Finale,Finalesi,Italy
esi,Riposto,Ripostesi,Italy
esi,Castellarano,Castellaranesi,Italy
ense,La Roda,Rodense,Spain
ian,Forfar,Forfarian,United Kingdom
rra,Azpeitia,azpeitiarra,Spain
ino,Putaendo,Putaendino,Chile
tino,Fraga,Fragatino,Spain
ani,Zevio,Zeviani,Italy
esi,Pineto,Pinetesi,Italy
esi,Sommacampagna,Sommacampagnesi,Italy
ol,Vennesla,Venndol,Norway
esi,Rosarno,Rosarnesi,Italy
soking,Nannestad,Nannestadsokning,Norway
ense,Guayos,Guayense,Cuba
esi,Rosa,Rosatesi,Italy
liler,Ozdere,Ozdereliler,Turkey
esi,Sorso,Sorsesi,Italy
esi,Carmignano,Carmignanesi,Italy
ing,Verdal,Verdaling,Norway
er,Woudrichem,Woudrichemmer,Netherlands
aner,Jever,Jeveraner,Germany
esi,Mondolfo,Mondolfesi,Italy
esi,Collecchio,Collecchiesi,Italy
aar,Slochteren,Slochtenaar,Netherlands
esi,Maglie,Magliesi,Italy
i,Alginet,Algineti,Spain
esi,Trinitapoli,Trinitapolesi,Italy
ani,Orbetello,Orbetellani,Italy
ing,Askim,Askiming,Norway
esi,Cicciano,Ciccianesi,Italy
ate,Urbino,Urbinate,Italy
car,Benaulim,Bannalemcar,India
esi,Cefalu,Cefaludesi,Italy
esi,Locorotondo,Locorotondesi,Italy
chi,Taggia,Taggiaschi,Italy
ese,Caselle Torinese,Casellese,Italy
ensi,Marostica,Marosticensi,Italy
non,Mapanas,Mapanasnon,Philippines
esi,Bondeno,Bondenesi,Italy
bo,Thisted,Thistedbo,Denmark
ing,Narvik,Narviking,Norway
esi,Vetralla,Vetrallesi,Italy
n,California,Californian,United States
ense,Itaguacu,Itaguacuense,Brazil
ani,Vieste,Viestani,Italy
esi,Statte,Stattesi,Italy
ani,Cavarzere,Cavarzerani,Italy
ense,Arroio dos Ratos,arroio-ratense,Brazil
esi,Latisana,Latisanesi,Italy
walia,Bundala,Bundalawalia,India
esi,Arzachena,Arzachenesi,Italy
ric,Soller,Solleric,Spain
aar,Schoonhoven,Schoonhovenaar,Netherlands
esi,Camponogara,Camponogaresi,Italy
esi,Grammichele,Grammichelesi,Italy
esi,Vigodarzere,Vigodarzeresi,Italy
esi,Crevalcore,Crevalcoresi,Italy
esi,Melilli,Melillesi,Italy
ais,Lourdes,Lourdais,France
ais,Mayenne,Mayennais,France
esi,Formello,Formellesi,Italy
it,Nakskov,Nakskovit,Denmark
esi,Chiampo,Chiampesi,Italy
ino,Tucapel,Tucapelino,Chile
oli,Calcinaia,Calcinaioli,Italy
esi,Carpenedolo,Carpenedolesi,Italy
esi,Ficarazzi,Ficarazzesi,Italy
ish,Sweden,Swedish,United States
esi,Montegranaro,Montegranaresi,Italy
esi,Pontecorvo,Pontecorvesi,Italy
esi,Apricena,Apricenesi,Italy
esi,Raffadali,Raffadalesi,Italy
esi,Barrafranca,Barresi,Italy
nin,Agdangan,Agdanganin,Philippines
esi,Stezzano,Stezzanesi,Italy
esi,Monteprandone,Monteprandonesi,Italy
esi,Leonforte,Leonfortesi,Italy
ano,Noceto,Nocetano,Italy
ois,Graulhet,Graulhetois,France
ense,Albatera,Albaterense,Spain
er,Tetiiv,Tetiever,Ukraine
ing,Notodden,Notodding,Norway
esi,Mercogliano,Mercoglianesi,Italy
esi,Lipari,Liparesi,Italy
ino,Frutillar,Frutillarino,Chile
ois,Florange,Florangeois,France
tar,Arrigorriaga,Arrigorriagatar,Spain
er,Voerendaal,Voerendaler,Netherlands
esi,Locri,Locresi,Italy
ero,Salobrena,Salobreanero,Spain
esi,Paullo,Paullesi,Italy
ian,Grenada,Grenadian,United States
ense,Cinisi,Cinisense,Italy
esi,Gavardo,Gavardesi,Italy
ebu,Bryne,Brynebu,Norway
ano,Bejar,bejarano,Spain
eano,Estepa,Estepeano,Spain
kar,Kamalnagar,Kamalnagarkar,India
esi,Bernalda,Bernaldesi,Italy
esi,Lizzanello,Lizzanellesi,Italy
esi,Taurisano,Taurisanesi,Italy
esi,Atripalda,Atripaldesi,Italy
ense,Canovanas,Canovanense,Puerto Rico
esi,Portoferraio,Portoferraiesi,Italy
esi,Pulsano,Pulsanesi,Italy
esi,Susegana,Suseganesi,Italy
esi,Bitetto,Bitettesi,Italy
esi,Loano,Loanesi,Italy
non,Lapinig,Lapinignon,Philippines
ger,Doesburg,Doesburger,Netherlands
esi,Casteldaccia,Casteldaccesi,Italy
ano,Azcoitia,azcoitano,Spain
ais,Porto-Vecchio,Porto-Vecchiais,France
esi,Codigoro,Codigoresi,Italy
ini,Venosa,Venosini,Italy
ense,Bullas,Bullense,Spain
esi,Cisternino,Cistranesi,Italy
er,Leidschendam,Leidschendammer,Netherlands
nsi,Portomaggiore,Portuensi,Italy
uri,Ravanusa,Ravanusauri,Italy
esi,Taormina,Taorminesi,Italy
i,Muzaffarnagar,Muzaffarnagri,India
esi,Ovada,Ovadesi,Italy
ani,Caorle,Caprulani,Italy
esi,Mestrino,Mestrinesi,Italy
esi,Trecastagni,Trecastagnesi,Italy
ring,Lenvik,Lenvikvering,Norway
can,Mexico,Mexican,Philippines
esi,Siniscola,Siniscolesi,Italy
ar,Egersund,Egersundar,Norway
ian,Healdsburg,Healdsburgian,United States
ini,Creazzo,Creatini,Italy
ino,Alassio,Alassino,Italy
esi,Bitritto,Bitrittesi,Italy
esi,Cislago,Cislaghesi,Italy
ois,Abbeville,Abbevillois,United States
ing,Enebakk,Enebakking,Norway
bu,Tysvaer,Tysvaerbu,Norway
esi,Aulla,Aullesi,Italy
esi,Polistena,Polistenesi,Italy
uts,Castalla,Castellut,Spain
esi,Cameri,Cameresi,Italy
ese,Corleone,Corleonese,Italy
er,Simpelveld,Simpelvelter,Netherlands
ian,Peru,Peruvian,United States
ense,Brunete,brunetense,Spain
ian,Grand Rapids,Grand Rapidian,United States
esi,Montecchio Emilia,Montecchiesi,Italy
esi,Lomazzo,Lomazzesi,Italy
er,Fife,Fifer,United States
ani,Itri,Itrani,Italy
ense,Tosagua,Tusaguense,Ecuador
esi,Randazzo,Randazzesi,Italy
esi,Vigonovo,Vigonovesi,Italy
esi,Vanzago,Vanzaghesi,Italy
tani,Salemi,Salemitani,Italy
esi,Castrolibero,Castroliberesi,Italy
csi,Barcs,barcsi,Hungary
n,Westphalia,Westphalian,United States
esi,Cutro,Cutresi,Italy
ia,Samalpur,Sambalpuria,India
ense,Alcaudete,Alcaudetense,Spain
ini,Aradeo,Aradeini,Italy
ense,Arvorezinha,arvorezinhense,Brazil
esi,Trabia,Trabiesi,Italy
esi,Cittanova,Cittanovesi,Italy
esi,Terralba,Terralbesi,Italy
esi,Capriolo,Capriolesi,Italy
i,Nagyatad,nagyatadi,Hungary
oti,Crosia,Crosioti,Italy
ense,Chavinda,Chavindense,Mexico
esi,Cuorgne,Cuorgnatesi,Italy
ais,Carqueiranne,Carqueirannais,France
ese,Castellamonte,Castellamontese,Italy
ani,Vigasio,Vigasiani,Italy
ani,Cingoli,Cingolani,Italy
ese,Racconigi,Racconigese,Italy
esi,Bucine,Bucinesi,Italy
enc,Matadepera,Matadeperenc,Spain
ini,Sovicille,Sovicillini,Italy
esi,Gambolo,Gambolesi,Italy
esi,Cavriago,Cavriaghesi,Italy
esi,Melendugno,Melendugnesi,Italy
esi,Macomer,Macomeresi,Italy
esi,Garlasco,Garlaschesi,Italy
man,Yorkshire,Yorkshireman,United States
esi,Urgnano,Urgnanesi,Italy
esi,Magnago,Magnaghesi,Italy
ese,Colindres,colindrese,Spain
esi,Vidor,Vidoresi,United States
i,Panjab,Punjabi,Afghanistan
esi,Conselice,Conselicesi,Italy
esi,Deruta,Derutesi,Italy
esi,Resana,Resanesi,Italy
esi,Siano,Sianesi,Italy
esi,Sorbolo,Sorbolesi,Italy
ite,Irungalur,Tiruchiite,India
ian,Harran,Harranian,Turkey
esi,Cavriglia,Cavrigliesi,Italy
er,Farsund,Farsunder,Norway
ing,Fauske,Fauskevring,Norway
esi,Striano,Strianesi,Italy
esi,Gatteo,Gatteesi,Italy
ais,Vallet,Valletais,France
as,Belley,Belleysan,France
ini,Nepi,Nepesini,Italy
esi,Fossombrone,Fossombronesi,Italy
esi,Aragona,Aragonesi,Italy
ian,Monett,Monettian,United States
n,Bohemia,Bohemian,United States
esi,Martano,Martanesi,Italy
esi,Missaglia,Missagliesi,Italy
ani,Asolo,Asolani,Italy
esi,Pandino,Pandinesi,Italy
esi,Treia,Treiesi,Italy
esi,Porcari,Porcaresi,Italy
n,Madeira,Madeiran,United States
esi,Podenzano,Podenzanesi,Italy
esi,Lacchiarella,Lacchiarellesi,Italy
esi,Borgosatollo,Borgosatollesi,Italy
esi,Vignate,Vignatesi,Italy
esi,Colorno,Colornesi,Italy
no,Segorbe,Segorbino,Spain
esi,Soresina,Soresinesi,Italy
esi,Montagnana,Montagnanesi,Italy
ish,Flanders,Flemish,United States
ien,Checy,Cacien,France
esi,Aviano,Avianesi,Italy
esi,Guardiagrele,Guardiesi,Italy
ense,Tineo,tinetense,Spain
esi,Vergiate,Vergiatesi,Italy
ini,Roccastrada,Roccastradini,Italy
ano,Cheste,Chestano,Spain
ing,Flekkefjord,Flekkefjoring,Norway
esi,Laveno-Mombello,Lavenesi,Italy
ense,Tepechitlan,Tepechitlense,Mexico
esi,Breganze,Breganzesi,Italy
ense,Morpara,Morparaense,Brazil
esi,Vicopisano,Vicaresi,Italy
aar,Strijen,Strijenaar,Netherlands
n,Angola,Angolan,United States
ese,Brandizzo,Brandizzese,Italy
ani,Erchie,Erchiolani,Italy
ard,Savoy,Savoyard,United States
esi,Sortino,Sortinesi,Italy
esi,Dorgali,Dorgalesi,Italy
esi,Gavorrano,Gavorranesi,Italy
esi,Calvisano,Calvisanesi,Italy
esi,Cagli,Cagliesi,Italy
ing,Namsos,Namsosing,Norway
ing,Hammerfest,Hammerfesting,Norway
ing,Svolvaer,Svolvaering,Norway
ian,Tirupati,Tirupatian,India
kar,Kalyan,Kalyankar,India
an,Mysore,Mysorean,India
an,Pilibhit,Pilbhitian,India
n,Australia,Australian,Cuba
n,Andalusia,Andalusian,United States
ian,Aarhus,Aarhusian,
ite,Adana,Adanite,
ian,Albany,Albanian,
ois,Algiers,Algerois,
ian,Almera,Almerian,
ian,Alpine,Alpinian,
ite,Ammon,Ammonite,
ense,Amparo,Amparense,
ite,Andong,Andongite,
ino,Angeles,Angelino,
vin,Angers,Angevin,
n,Antakya,Antakyan,
awi,Aqaba,Aqabawi,
ian,Arlington,Arlingtonian,
ian,Armagh,Armachian,
ian,Armidale,Armidilian,
i,Ashdod,Ashdodi,
ian,Ashkelon,Ashkelonian,
no,Asuncian,Asunceno,
ian,Balikesir,Balikesirian,
nian,Bath,Bathonian,
an,Baton Rouge,Baton Rougean,
ian,Bedford,Bedfordian,
n,Beersheba,Beersheban,
er,Beijing,Beijinger,
er,Belfast,Belfaster,
an,Benevento,Beneventan,
an,Bengeo,Bengean,
ian,Bnei Brak,Bnei Brakian,
ite,Bodrum,Bodrumite,
ian,Bolton,Boltonian,
n,Bossangoa,Bossangoan,
nian,Buffalo,Buffalonian,
ian,Burlington,Burlingtonian,
nese,Bursa,Bursanese,
ite,Cairns,Cairnsite,
ian,Cambridge,Cantabrigian,
eiro,Campinas,Campineiro,
ense,Campo Grande,campo-grandense,
n,Canberra,Canberran,
ian,Cardiff,Cardiffian,
an,Carlisle,Carlislian,
ite,Carson City,Carsonite,
ite,Casper,Casperite,
ano,Cebu,Cebuano,
ian,Charleston ,Charlestonian,
ian,Chelmsford,Chelmsfordian,
ian,Cheltenham,Cheltonian,
ian,Chesterfield,Cestrefeldian,
ite,Cheyenne,Cheyenneite,
ian,Chilliwack,Chilliwackian,
nian,Chittagong,Chittagonian,
ite,Columbus,Columbusite,
es,Cordoba,Cordobes,
onian,Cork,Corkonian,
ian,Dalaman,Dalamanian,
ese,Da Lat,Dalatese,
ian,Darwin,Darwinian,
eano,Davao,Davaoeano,
ite,Delhi,Delhiite,
an,Denizli,Denizlian,
ian,Derry,Derrian,
ian,Devonport,Devonportian,
ian,Diyarbakir,Diyarbakirian,
er,Dresden,Dresdener,
ian,Duluth,Duluthian,
an,East Troy,East Trojan,
er,Edinburgh,Edinburger,
ian,Eilat,Eilatian,
rd,Palinges,Palinsard,
ian,Epidaurus,Epidaurian,
ian,Erzurum,Erzurumian,
ian,Eskihehir,Eskishehirian,
an,Eugene,Eugenean,
ite,Everett,Everettite,
an,Fargo,Fargoan,
nese,Fethiye,Fethiyennese,
esi,Filettino,Filettinesi,
ian,Finchley,Finchleian,
er,Fort Lauderdale,Fort Lauderdaler,
er,Fort Wayne,Fort Wayner,
er,Frankfurt,Frankfurter,
n,Gaza,Gazan,
ian,Germiston,Germistonian,
ian,Ghent,Ghentian,
er,Godalming,Godalminger,
er,Gold Coast,Gold Coaster,
ian,Gosford,Gosfordian,
ois,Grenoble,Grenoblois,
ite,Gumi,Gumite,
ite,Gwangju,Gwangjuite,
ite,Gyeongju,Gyeongjuite,
n,Haifa,Haifan,
ian,Halifax,Haligonian,
ian,Hamilton,Hamiltonian,
ian,Hanover,Hanoverian,
ian,Hartlepool,Hartlepudlian,
er,Hastings,Hastinger,
an,Hatay,Hatayan,
ian,Hobart,Hobartian,
ian,Holon,Holonian,
er,Incheon,Incheoner,
ian,Ipoh,Ipohian,
eano,Iriga,Irigueano,
no,Itabira,Itabirano ,
n,Ithaca,Ithacan,
ite,Izmit,Izmitite,
ense,JaÃ©n,Jienense,
ite,Jeonju,Jeonjuite,
er,Johannesburg,Johannesburger,
n,Joshua,Joshuan,
n,Juba,Juban,
ite,Juneau City,Juneauite,
ane,Kaluga,Kaluzhane,
ian,Kansas City,Kansas Citian,
s,Karpasia,Karpasias,
n,Kastoria,Kastorian,
ian,Kayseri,Kayserian,
ian,Kingston,Kingstonian,
ite,Kitchener,Kitchenerite,
ian,Kocaeli,Kocaelian,
ite,Konya,Konyanite,
ian,Kuala Lumpur,Kuala Lumpurian,
ite,Kuching,Kuchingite,
ian,Lancaster,Lancastrian,
eano,La Paz,Paceano,
ade,Larnaka,Larnakade,
ois,Laval,Lavalois,
ian,Leeds,Leodensian,
er,Leipzig,Leipziger,
eano,Legazpi,Legazpeano,
ese,Leon,Leonese,
ian,Lexington,Lexingtonian,
ian,Liberal,Liberarian,
eano,Ligao,Ligaoeano,
ti,Limassol,Lemesouti,
er,Linz,Linzer,
ese,Lugano, Luganese,
ese,Lyon,Lyonese,
ite,Mackay,Mackayite,
nean,Malaga,Malagenean,
n,Malatya,Malatyan,
nian,Manisa,Manisanian,
an,Maputo,Maputan,
ian,Marathon,Marathonian,
ian,Mardin,Mardinian,
ian,Marmaris,Marmarisian,
ite,Marshall,Marshallite,
ano,Masbate,Masbateano,
ite,Mersin,Mersinite,
ian,Megara,Megarian,
ite,Melbourne, Melbournite,
ian,Memphis,Memphian,
ense,Mendrisio,Mendrisiense,
ano,Mogi Guacu,Guacuano,
ano,Mogi Mirim,Mogimiriano,
n,Monrovia,Monrovian,
ian,Moose Jaw,Moose Javian,
i,Morphou,Morfiti,
ian,Mugla,Mughlanian,
er,Munich,Munchner,
i,Mymensingh,Mymensingh,
eano,Naga,Nagueano,
n,Nagoya,Nagoyan,
ite,Nanaimo,Nanaimoite,
ense,Nanking,Nankinese,
n,Napier,Napieran,
ian,Nassau,Nassuvian,
ian,Nelson,Nelsonian,
n,Netanya,Netanyan,
er,Newport,Newporter,
er,New York,New Yorker,
er,Norfolk,Norfolker,
ian,Northampton,Northamptonian,
er,Nuremberg,Nuremberger,
ian,Oakbank,Oakbankian,
ian,Oamaru,Oamaruvian,
ian,Omak,Omakian,
ite,Ordu,Ordunite,
n,Osaka,Osakan,
ian,Oshawa,Oshawian,
ian,Oslo,Oslovian,
ian,Oswestry,Oswestrian,
er,Paddock Lake,Paddock Laker,
n,Padua,Paduan,
an,Paducah,Paducahan,
ian,Palmerston,Palmerstonian,
ene,Palmyra,Palmyrene,
ite,Penang,Penangite,
ite,Perth,Perthite,
n,Perugia,Perugian,
ian,Peterborough,Peterbourian,
er,Phoenix,Phoenician,
iti,Pissouri,Pissouriti,
arian,Polmont,Polmontarian,
n,Pompeii,Pompeian,
ian,Ponferrada,Ponferradian,
ian,Port Moresby,Port Moresbian,
ki,Porto Cheli,Porto-Cheliki,
er,Portland,Portlander,
ian,Portsmouth,Portsmouthian,
ian,Preston,Prestonian,
in,Pripyat,Pripyatin,
tian,Providence,Providentian,
an,Provo,Provoan,
ian,Pylos,Pylian,
iya,Rajshahi,Rajshahiya,
ian,Radnor,Radnorian,
ite,Randall,Randallite,
ian,Rangpur,"Rongpuri, Rangpuri",
ite,Reading,Readingite,
ian,Red Deer,Red Deerian,
an,Regina,Reginan,
ian,Rethymno,Rethymnian,
ois,Reims,Remois,
ian,Reykjavi­k,Reykjavikian,
ano,Ribeireo Preto,Ribeireo Pretano,
er,Richmond,Richmonder,
ian,Rhodes,Rhodian,
er,Roanoke,Roanoker,
ian,Rochester,Rochesterian,
ite,Rockhampton,Rockhamptonite,
n,Rotorua,Rotoruan,
ais,Rouen,Rouennais,
er,Rye,Ryer,
ian,Saint Helier,Saint-Helian,
ite,Saint Paul,Saint Paulite,
ite,Salem,Salemite,
an,Salvador,Salvadoran,
er,Salzburg,Salzburger,
ite,Samsun,Samsunite,
ean,San Jose,San Josean,
nian,urfa,Urfanian,
n,Santa Barbara,Santa Barbaran,
n,Santa Clarita,Santa Claritan,
n,Santa Monica,Santa Monican,
ense,Sao Carlos,Saocarlense,
kko,Sapporo,Sapporokko,
ian,Savannah,Savannian,
kko,Sendai,Sendaikko,
ian,Seville,Sevillian,
an,Shkoder,Shkodran,
tan,Side,Sidetan,
er,Silver Lake,Silver Laker,
ite,Somers,Somersite,
on,Sorsogon,Sorsoganon,
an,Soweto,Sowetan,
an,Sparta,Spartan,
ian,Spoleto,Spoletian,
ian,Springfield,Springfieldian,
er,Sunshine Coast,Sunshine Coaster,
ian,Swindon,Swindonian,
ider,Sydney,Sydneysider,
an,Syracuse,Syracusan,
eano,Tabaco,Tabaqueano,
n,Tacoma,Tacoman,
an,Tallahassee,Tallahasseean,
an,Tartu,Tartuan,
n,Tasmania,Tasmanian,
ian,Taunton,Tauntonian,
ian,Tauranga,Taurangian,
nan,Tekirdag,Tekirdaninan,
ian,Tel Aviv,Tel Avivian,
an,Thebes,Theban,
ian,Timaru,Timaruvian,
n,Toowoomba,Toowoomban,
sian,Tournai,Tournaisian,
ian,Townsville,Townsvillian,
ian,Traverse City,Traverse Citian,
ite,Trevor,Trevorite,
ine,Trent,Tridentine,
tan,Tripoli,Tripolitan,
er,Twin Lakes,Twin Laker,
ian,Tyre,Tyrian,
ian,Van,Vanian,
n,Victoria,Victorian,
n,Villanova,Villanovan,
ian,Ville Platte,Ville Platian,
ite,Waco,Wacoite,
ian,"Washington, D.C.",Washingtonian,
ian,Waterbury,Waterburian,
ian,Waterloo,Waterluvian,
er,Wheatland,Wheatlander,
n,Wichita,Wichitan,
er,Wilmot,Wilmotter,
ian,Wythenshawe,Wythenshavian,
an,Xanthi,Xanthian,
ite,Yeosu,Yeosuite,
n,Yogyakarta,Yogyakartan,
eano,Zamboanga,Zamboangueano,
ian,Zonguldak,Zonguldakian,
i,Zintan,Zintani,
naar,Zwolle,Zwollenaar,
an,Africa , African,
an,Antarctica , Antarctican,
an,Asia , Asian,
an,Australia , Australian,
an,Europe , European,
an,North America , North American,
an,South America , South American,
an,Central America , Central American,
an,Americas , American,
an,Oceania , Oceanian,
an,Afghanistan , Afghan,
an,Albania , Albanian,
an,Algeria , Algerian,
an,Andorra , Andorran,
an,Angola , Angolan,
an,Antigua , Antiguan,
an,Armenia , Armenian,
an,Austria , Austrian,
an,Barbuda , Barbudan,
an,Belize , Belizean,
an,Bolivia , Bolivian,
an,Bosnia , Bosnian,
an,Botswana , Botswanan,
an,Brunei , Bruneian,
an,Bulgaria , Bulgarian,
an,Burundi , Burundian,
an,Cambodia , Cambodian,
an,Canada , Canadian,
an,Chile , Chilean,
an,Colombia , Colombian,
an,Costa Rica , Costa Rican,
an,Croatia , Croatians,
an,Cuba , Cuban,
an,Czech Republic , Czech,
an,Dominican Republic , Dominican,
an,El Salvador , Salvadoran,
an,Eritrea , Eritrean,
an,Estonia , Estonian,
an,Ethiopia , Ethiopian,
an,Fiji , Fijian,
an,Galatia , Galatian,
an,Gambia , Gambian,
an,Georgia , Georgian,
an,Germany , German,
an,Guatemala , Guatemalan,
an,Guinea , Guinean,
an,Haiti , Haitian,
an,Honduras , Honduran,
an,Hungary , Hungarian,
an,India , Indian,
an,Indonesia , Indonesian,
an,Israel , Israeli,
an,Jamaica , Jamaican,
an,Kenya , Kenyan,
an,Kiribati , Kiribatian,
an,North Korea , North Korean,
an,South Korea , South Korean,
an,Kosovo , Kosovan,
an,Laos , Laos,
an,Latvia , Latvian,
an,Liberia , Liberian,
an,Libya , Libyan,
an,Lithuania , Lithuanian,
an,Malawi , Malawian,
an,Malaysia , Malaysian,
an,Mali , Malian,
an,Mauritania , Mauritanian,
an,Mexico , Mexican,
an,Micronesia , Micronesian,
an,Moldova , Moldovan,
an,Mongolia , Mongolian,
an,Monaco , Monacan,
an,Morocco , Moroccan,
an,Mozambique , Mozambican,
an,Myanmar , Myanman,
an,Namibia , Namibian,
an,Nauru , Nauruan,
an,Nicaragua , Nicaraguan,
an,Nigeria , Nigerian,
an, Macedonia , Macedonian,
an,Palau , Palauan,
an,Papua New Guinea , Papua New Guinean,
an,Paraguay , Paraguayan,
an,Persia , Persian,
an,Puerto Rico , Puerto Rican,
an,Romania , Romanian,
an,Russia , Russian,
an,Rwanda , Rwandans,
an,Saint Lucia , Saint Lucian,
an,Samoa , Samoan,
an,Saudi Arabia , Saudi Arabian,
an,Serbia , Serbian,
an,Sierra Leone , Sierra Leonean,
an,Singapore , Singaporean,
an,Slovakia , Slovakian,
an,Slovenia , Slovenian,
an,Somalia , Somali,
an,South Africa , South African,
an,Sri Lanka , Sri Lankan,
an,Kitts," Kittitians, Nevisian",
an,Syria , Syrian,
an,Tanzania , Tanzanian,
an,Tonga , Tongan,
an,Tunisia , Tunisian,
