,city,term,country,suffix
215,asmara,asmarino,Eritrea,no
226,asuncion,asunceno,Paraguay,no
237,malabo,malabeno,Equatorial Guinea,no
249,zamboanga city,zamboangeano,Philippines,no
251,morelia,moreliano,Mexico,no
252,cebu city,cebuano,Philippines,no
266,santiagueno,santiagueano,Chile,no
269,taguig city,taguigeano,Philippines,no
278,cochabamba,cochabambino,Bolivia,no
284,queretaro,queretano,Mexico,no
287,palermo,palermitano,Colombia,no
295,cucuta,cucuteano,Colombia,no
305,dasmarinas,dasmarineano,Philippines,no
315,murcia,murciano,Spain,no
322,sorocaba,sorocabano,Brazil,no
327,chimalhuacan,chimalhuacano,Mexico,no
344,cuiaba,cuiabano,Brazil,no
357,ibague,ibaguereano,Colombia,no
363,soacha,suachuno,Colombia,no
369,monteria,monteriano,Colombia,no
370,imus,imuseano,Philippines,no
398,manizales,manizaleano,Colombia,no
426,petare,petareano,Venezuela,no
428,anapolis,anapolino,Brazil,no
432,cabuyao,cabuyeano,Philippines,no
437,corrientes,correntino,Argentina,no
438,neiva,neivano,Colombia,no
444,alicante,alicantino,Spain,no
457,coatzacoalcos,coatzacoalqueano,Mexico,no
460,tanza,tanzeano,Philippines,no
465,zarzal,zarzaleno,Colombia,no
477,navotas,navoteano,Philippines,no
480,tagum,tagumeano,Philippines,no
555,cajamarca,cajamarquino,Peru,no
560,brescia,bresciano,Italy,no
569,valera,valerano,Venezuela,no
604,tunja,tunjano,Colombia,no
616,ilagan,ilagueano,Philippines,no
636,parnaiba,parnaibano,Brazil,no
763,moquegua,moqueguano,Peru,no
807,huancavelica,huancavelicano,Peru,no
1040,funza,funzano,Colombia,no
1042,pisa,pisano,Italy,no
1079,orihuela,oriolano,Spain,no
1200,chieti,chietino,Italy,no
1305,yecla,yeclano,Spain,no
1798,segorbe,segorbino,Spain,no
1852,asuncian,asunceno,,no
1938,itabira,itabirano,,no
3051,jinotega,jinotegano,Nicaragua,no
49,yangoon,yangonthar,Myanmar,thar
51,abidjan,abidjanais,CÃ´te d'Ivoire,ais
275,marseille,marseillais,France,ais
580,toulon,toulonnais,France,ais
673,perpignan,perpignanais,France,ais
674,orleans,orleanais,France,ais
811,talence,talencais,France,ais
823,tarbes,tarbais,France,ais
899,renens,renanais,Switzerland,ais
1249,castres,castrais,France,ais
1634,lourdes,lourdais,France,ais
1635,mayenne,mayennais,France,ais
1688,porto vecchio,porto vecchiais,France,ais
1748,carqueiranne,carqueirannais,France,ais
1779,vallet,valletais,France,ais
2057,rouen,rouennais,,ais
2942,rennes,rennais,France,ais
2975,dijon,dijonnais,France,ais
3055,leogane,leoganais,Haiti,ais
3167,montauban,montalbanais,France,ais
3197,narbonne,narbonnais,France,ais
80,sanaa,sanaani,Yemen,ni
304,latakia,latakani,Syria,ni
785,aversa,aversani,Italy,ni
969,cesa,cesani,Italy,ni
975,montmelo,montmeloni,Spain,ni
1031,barletta,barlettani,Italy,ni
1093,caserta,casertani,Italy,ni
1156,matera,materani,Italy,ni
1443,floridia,floridiani,Italy,ni
1507,capua,capuani,Italy,ni
2999,mataro,mataroni,Spain,ni
3035,utica,utican,United States,ni
3181,cerignola,cerignolani,Italy,ni
3190,manfredonia,manfredoniani,Italy,ni
3201,modica,modicani,Italy,ni
3209,velletri,veliterni,Italy,ni
87,guayaquil,guayaquilea,Ecuador,a
524,barisal,barisailla,Bangladesh,a
968,encamp,encampada,Andorra,a
943,gines,ginense,Spain,ense
3001,teofilo otoni,teofilo otonense,Brazil,ense
1284,paraty,paratiense,Brazil,ense
1589,guayos,guayense,Cuba,ense
1101,itapira,itapirense,Brazil,ense
1619,itaguacu,itaguacuense,Brazil,ense
1737,alcaudete,alcaudetense,Spain,ense
521,arapiraca,arapiraquense,Brazil,ense
338,uberlandia,uberlandense,Brazil,ense
754,benalmadena,benalmadenses,Spain,ense
1455,carai,caraiense,Brazil,ense
408,binan,biananense,Philippines,ense
299,nampula,nampulense,Mozambique,ense
3125,la grita,gritense,Venezuela,ense
1108,vinhedo,vinhedense,Brazil,ense
3014,barbacena,barbacenense,Brazil,ense
747,silao,silaoense,Mexico,ense
169,guarulhos,guarulhense,Brazil,ense
1727,tosagua,tusaguense,Ecuador,ense
648,garanhuns,garanhuense,Brazil,ense
3186,ciudad cuauhtemoc,cuauhtemense,Mexico,ense
3058,babahoyo,babahoyense,Ecuador,ense
1739,arvorezinha,arvorezinhense,Brazil,ense
718,arapongas,araponguense,Brazil,ense
1282,granadero baigorria,baigorriense,Argentina,ense
3106,cuencame de ceniceros,cuencamense,Mexico,ense
421,betim,betinense,Brazil,ense
258,aguascalientes,aguascalentense,Mexico,ense
468,paulista,paulistense,Brazil,ense
385,lanus,lanusense,Argentina,ense
564,guanajuato,guanajuatense,Mexico,ense
1025,caieiras,caieirense,Brazil,ense
1133,trapani,trapanese,Italy,ense
1987,mendrisio,mendrisiense,,ense
623,colima,colimense,Mexico,ense
1460,itamaraca,itamaracaense,Brazil,ense
3048,igarassu,igarassuense,Brazil,ense
871,huatabampo,huatabampense,Mexico,ense
556,almeria,almerienses,Spain,ense
2914,ponta grossa,pontagrossense,Brazil,ense
896,alboraya,alborayense,Spain,ense
1578,la roda,rodense,Spain,ense
353,londrina,londrinense,Brazil,ense
1841,amparo,amparense,,ense
1365,carinhanha,carinhanhense,Brazil,ense
1532,osuna,ursaonense,Spain,ense
137,recife,recifense,Brazil,ense
893,mitu,mituense,Colombia,ense
574,modena,modenese,Italy,ense
2972,chillan,chillanense,Chile,ense
1452,umbauba,umbaubense,Brazil,ense
1064,guanambi,guanambiense,Brazil,ense
1043,sahagun,sahagunense,Colombia,ense
1872,campo grande,campo grandense,,ense
471,coacalco,coacalquense,Mexico,ense
3207,elda,eldense,Spain,ense
689,araruama,araruamense,Brazil,ense
318,tlalnepantla,tlalnepantlense,Mexico,ense
1811,tepechitlan,tepechitlense,Mexico,ense
1381,itatiaia,itatiaiense,Brazil,ense
446,petrolina,petrolinense,Brazil,ense
254,teresina,teresinense,Brazil,ense
3228,huaquillas,huaquillense,Ecuador,ense
3097,pureparo de echaiz,pureperense,Mexico,ense
172,porto,portuense,Portugal,ense
356,ixtapaluca,ixtapaluquense,Mexico,ense
1678,canovanas,canovanense,Puerto Rico,ense
3215,torrelavega,torrelaveguense,Spain,ense
1999,nanking,nankinese,,ense
158,goiania,goianiense,Brazil,ense
427,bauru,bauruense,Brazil,ense
1420,aimores,aimoreense,Brazil,ense
2927,maraba,marabaense,Brazil,ense
1494,piratini,piratinense,Brazil,ense
2920,camacari,camacariense,Brazil,ense
1392,tenares,tenarense,Dominican Republic,ense
235,sucre,sucrense,Bolivia,ense
691,parintins,parintinense,Brazil,ense
1541,belterra,belterrense,Brazil,ense
2934,parana,paranaense,Argentina,ense
3080,riccione marina,riccionese,Italy,ense
104,manaus,manauense,Brazil,ense
3136,santo angelo,santo angelense,Brazil,ense
3008,araras,ararense,Brazil,ense
781,tacuarembo,tacuaremboense,Uruguay,ense
3017,gapan,gapanense,Philippines,ense
713,vespasiano,vespasianense,Brazil,ense
568,leganes,leganense,Spain,ense
1805,tineo,tinetense,Spain,ense
539,el tigre,tigrense,Venezuela,ense
1503,umburanas,umburanense,Brazil,ense
320,durango,duranguense,Mexico,ense
3127,el ejido,ejidense,Spain,ense
2938,viamao,viamonense,Brazil,ense
1021,trelew,trelewense,Argentina,ense
533,oviedo,ovetense,Spain,ense
3268,jardinopolis,jardinopolense,Brazil,ense
578,cuautitlan,cuautitlense,Mexico,ense
1098,ibiuna,ibiunense,Brazil,ense
3013,duitama,duitamense,Colombia,ense
566,castanhal,castanhalense,Brazil,ense
2070,sao carlos,saocarlense,,ense
149,porto alegre,porto alegrense,Brazil,ense
1191,upata,upatense,Venezuela,ense
625,kanasin,kanasinense,Mexico,ense
1691,bullas,bullense,Spain,ense
3139,belo jardim,belo jardinense,Brazil,ense
3021,alcobendas,alcobendense,Spain,ense
3175,uriangato,uriangatense,Mexico,ense
605,anaco,anaquense,Venezuela,ense
1010,picos,picosense,Cabo Verde,ense
450,pelotas,pelotense,Brazil,ense
194,mexicali,mexicalense,Mexico,ense
1301,teruel,turolense,Spain,ense
1070,ijui,ijuiense,Brazil,ense
1030,guaiba,guaibense,Brazil,ense
3131,los patios,patiense,Colombia,ense
3143,bom jesus da lapa,lapense,Brazil,ense
1062,cacoal,cacoalense,Brazil,ense
206,managua,managuense,Nicaragua,ense
263,naucalpan de juarez,naucalpense,Mexico,ense
678,votorantim,votorantinense,Brazil,ense
3121,porto ingles,portuense,Cabo Verde,ense
1668,cinisi,cinisense,Italy,ense
282,culiacan,culiacanense,Mexico,ense
3019,barretos,barretense,Brazil,ense
828,cacem,cacemense,Portugal,ense
3226,alta floresta,altaflorestense,Brazil,ense
1721,brunete,brunetense,Spain,ense
3088,oxkutzkab,oxkutzcabense,Mexico,ense
3164,tefe,tefeense,Brazil,ense
701,lingayen,lingayenense,Philippines,ense
630,rimini,riminese,Italy,ense
1225,paracambi,paracambiense,Brazil,ense
609,pindamonhangaba,pindamonhangabense,Brazil,ense
3060,campo formoso,campo formosense,Brazil,ense
3252,xanxere,xanxerense,Brazil,ense
3040,colatina,colatinense,Brazil,ense
676,charallave,charallavenses,Venezuela,ense
591,luziania,luzianiense,Brazil,ense
1056,itabaiana,itabaianense,Brazil,ense
317,villavicencio,villavicense,Colombia,ense
664,porlamar,porlamarense,Venezuela,ense
2977,ibirite,ibiriteense,Brazil,ense
3217,campo belo,campo belense,Brazil,ense
3129,la dorada,doradense,Colombia,ense
1623,arroio dos ratos,arroio ratense,Brazil,ense
504,gravatai,gravataiense,Brazil,ense
2940,fresnillo,fresnillense,Mexico,ense
3189,andradina,andradinense,Brazil,ense
134,tegucigalpa,tegucigalpense,Honduras,ense
624,barreiras,barreirense,Brazil,ense
2904,vitoria,vitoriense,Brazil,ense
1655,albatera,albaterense,Spain,ense
2918,punto fijo,puntofijense,Venezuela,ense
1170,la plata,platense,Colombia,ense
1124,cacador,cacadorense,Brazil,ense
1435,jequitinhonha,jequitinhonhense,Brazil,ense
1053,maiquetia,maiquetiense,Venezuela,ense
3191,puerto boyaca,puertoboyacense,Colombia,ense
838,zacatelco,zacatelquense,Mexico,ense
1487,guapiacu,guapiacuense,Brazil,ense
3279,tarauaca,tarauacaense,Brazil,ense
316,tlaquepaque,tlaquepaquense,Mexico,ense
3130,para de minas,paraminense[3],Brazil,ense
788,ushuaia,ushuaiense,Argentina,ense
1220,chinchina,chinchinense,Colombia,ense
265,padang,padangnese,Indonesia,ense
1075,sorriso,sorrisense,Brazil,ense
3096,el astillero,astillerense,Spain,ense
1147,carazinho,carazinhense,Brazil,ense
109,st  louis,st louisan,United States,av
118,aleppo,aleppine,Syria,ine
289,bilbao,bilbaine,Spain,ine
419,florence,florentine,Italy,ine
736,poitiers,poitevine,France,ine
1161,agrigento,agrigentine,Italy,ine
2104,trent,tridentine,,ine
2576,byzantium,byzantine,,ine
2577,florence,florentines,,ine
2578,gilbert islands,gilbertines,,ine
2579,the levant,levantine,,ine
2580,montenegro,montenegrin,,ine
2581,palatinate,palatine,,ine
2582,philippines,philippine,,ine
2583,philistia,philistine,,ine
138,indianapolis,indianapolitan,United States,tan
364,sevastopol,sevastopolitan,Ukraine,tan
379,florianopolis,florianopolitan,Brazil,tan
442,simferopol,simferopolitan,Ukraine,tan
844,annapolis,annapolitan,United States,tan
2076,side,sidetan,,tan
2105,tripoli,tripolitan,,tan
141,ludhiana,ludhianvi,India,vi
293,patiala,patialvi,India,vi
3105,patalia,patialvi,India,vi
3296,baheri,bahervi,India,vi
3338,potukonda,potukondavi,India,vi
168,barranquilla,barranquillero,Colombia,ero
264,santiago de cuba,santiaguero,Cuba,ero
412,maracay,maracayero,Venezuela,ero
587,alcorcon,alcorconero,Spain,ero
590,carupano,carupanero,Venezuela,ero
603,cienfuegos,cienfuegueros,Cuba,ero
651,rionegro,rionegrero,Colombia,ero
660,tariba,taribero,Venezuela,ero
778,mislata,mislatero,Spain,ero
1107,paterna,paternero,Spain,ero
1205,baranoa,baranoero,Colombia,ero
1211,adeje,adejero,Spain,ero
1290,neiba,neibero,Dominican Republic,ero
1359,hellin,hellinero,Spain,ero
1360,valdepenas,valdepeanero,Spain,ero
1386,sesena,seseanero,Spain,ero
1478,cartaya,cartayero,Spain,ero
1486,chipiona,chipionero,Spain,ero
1665,salobrena,salobreanero,Spain,ero
2906,holguin,holguinero,Cuba,ero
2911,tehuacan,tehuacanero,Mexico,ero
2912,santa ana,santanero,United States,ero
3018,maicao,maicaero,Colombia,ero
3029,turbaco,turbaquero,Colombia,ero
3281,la rinconada,rinconero,Spain,ero
182,hargeysa,hargeysaawi,Somalia,awi
297,burco,burcaawi,Somalia,awi
307,hamah,hamawi,Syria,awi
380,berbera,barbaraawi,Somalia,awi
836,zgharta,zghartawi,Lebanon,awi
986,siggiewi,siggiewi,Malta,awi
1095,jablah,jablawi,Syria,awi
1846,aqaba,aqabawi,,awi
190,tbilisi,tbiliseli,Georgia,ili
196,yerevan,yerevantsi,Armenia,si
613,livorno,livornesi,Italy,si
790,gallarate,gallaratesi,Italy,si
802,lissone,lissonesi,Italy,si
849,bollate,bollatesi,Italy,si
854,limbiate,limbiatesi,Italy,si
225,the hague,hagenaar,Netherlands,ar
1705,egersund,egersundar,Norway,ar
3324,peraiyur,peraiyurar,India,ar
242,cayenne,cayennais,French Guiana,is
441,nice,nicois,France,is
456,nantes,nantais,France,is
800,bastia,bastiais,France,is
1352,chitral,chitralis,Pakistan,is
248,dnipro,dniprianyn,Ukraine,yn
260,donetsk,donchyani,Ukraine,ani
690,terni,ternani,Italy,ani
745,casoria,casoriani,Italy,ani
805,campobasso,campobassani,Italy,ani
824,desio,desiani,Italy,ani
852,kikinda,kikindani,Serbia,ani
862,vrsac,vrscani,Serbia,ani
865,aosta,aostani,Italy,ani
902,pompei,pompeiani,Italy,ani
932,ulcinj,ulcinjani,Montenegro,ani
961,capodrise,capodrisani,Italy,ani
965,procida,procidani,Italy,ani
1060,treviso,trevisani,Italy,ani
1077,grosseto,grossetani,Italy,ani
1262,rovereto,roveretani,Italy,ani
1268,fondi,fondani,Italy,ani
1285,fermo,fermani,Italy,ani
1303,osimo,osimani,Italy,ani
1306,gorizia,goriziani,Italy,ani
1385,assisi,assisiani,Italy,ani
1480,gaeta,gaetani,Italy,ani
1481,sabaudia,sabaudiani,Italy,ani
1501,scorze,scorzetani,Italy,ani
1583,zevio,zeviani,Italy,ani
1603,orbetello,orbetellani,Italy,ani
1620,vieste,viestani,Italy,ani
1622,cavarzere,cavarzerani,Italy,ani
1699,caorle,caprulani,Italy,ani
1726,itri,itrani,Italy,ani
1750,vigasio,vigasiani,Italy,ani
1751,cingoli,cingolani,Italy,ani
1788,asolo,asolani,Italy,ani
1818,erchie,erchiolani,Italy,ani
3171,acerra,acerrani,Italy,ani
3173,benevento,beneventani,Italy,ani
3202,teramo,teramani,Italy,ani
3272,marcianise,marcianisani,Italy,ani
270,cancun,cancunense,Mexico,esne
1130,zapotlanejo,zapotlanejense,Mexico,esne
2963,dagupan,dagupeano,Philippines,eano
1046,polangui,polangueano,Philippines,eano
2998,daraga,daragueano,Philippines,eano
3145,cuyapo,cuyapeano,Philippines,eano
1311,mogpog,mogpogueano,Philippines,eano
1393,cartama,cartameano,Spain,eano
967,azogues,azogueano,Ecuador,eano
2971,tuguegarao,tuguegaraoeano,Philippines,eano
3005,girardot,girardoteano,Colombia,eano
1324,castro urdiales,castreanos,Spain,eano
3141,sanlucar de barrameda,sanluqueano,Spain,eano
886,camaligan,camaligueano,Philippines,eano
3011,guasdualito,guasdualiteano,Venezuela,eano
761,guaynabo,guaynabeano,Puerto Rico,eano
1555,panukulan,panukuleano,Philippines,eano
1959,la paz,paceano,,eano
1054,cipolletti,cipolleano,Argentina,eano
1892,davao,davaoeano,,eano
1425,algeciras,algecireano,Colombia,eano
782,artemisa,artemiseano,Cuba,eano
3152,san gil,sangileano,Colombia,eano
1295,andujar,andujareano,Spain,eano
1068,chigorodo,chigorodoseano,Colombia,eano
3138,ciudad real,ciudadrealeano,Spain,eano
1226,urrao,urraeno,Colombia,eano
2892,makati,makiteano,Philippines,eano
981,coamo,coameano,Puerto Rico,eano
1159,aranjuez,ribereano,Spain,eano
692,pulilan,pulileano,Philippines,eano
1059,tagaytay,tagaytayeano,Philippines,eano
1496,cabusao,cabusaoeano,Philippines,eano
795,tulcan,tulcaneano,Ecuador,eano
3075,san roque,sanroqueano,Philippines,eano
773,latacunga,latacungueano,Ecuador,eano
3231,sanare,sanareano,Venezuela,eano
1465,nerja,nerjeano,Spain,eano
3203,tarma,tarmeano,Peru,eano
2897,pasay,pasayeano,Philippines,eano
3271,guaduas,guadeano,Colombia,eano
2895,muntinlupa,muntinlupeano,Philippines,eano
1564,alpedrete,alpedreteano,Spain,eano
1996,naga,nagueano,,eano
3122,las rozas de madrid,roceano,Spain,eano
1937,iriga,irigueano,,eano
2961,guatire,guatireano,Venezuela,eano
2954,zipaquira,zipaquireano,Colombia,eano
3266,puerto real,puertorrealeano,Spain,eano
3182,lambayeque,lambayecano,Peru,eano
1527,humacao,humacaeano,Puerto Rico,eano
2939,envigado,envigadeano,Colombia,eano
1964,legazpi,legazpeano,,eano
3159,bansalan,bansaleano,Philippines,eano
2898,marikina,marikeano,Philippines,eano
1353,guanta,guanteano,Venezuela,eano
3206,pasacao,pasaqueano,Philippines,eano
2946,tulua,tulueano,Colombia,eano
2957,tanauan,tanaueano,Philippines,eano
3150,la carlota,carloteano,Philippines,eano
1484,torrox,torroxeano,Spain,eano
1310,caucagua,caucagueano,Venezuela,eano
649,parla,parleano,Spain,eano
2123,zamboanga,zamboangueano,,eano
1085,calarca,calarqueano,Colombia,eano
688,kawit,kawiteano,Philippines,eano
1128,indang,indangeano,Philippines,eano
3187,monte plata,monteplateano,Dominican Republic,eano
3110,san luis de la loma,sanluiseano,Mexico,eano
3166,candon,candoneano,Philippines,eano
1082,valdemoro,valdemoreano,Spain,eano
2949,mostoles,mostoleano,Spain,eano
3030,sogamoso,sogamoseano,Colombia,eano
1045,mijas,mijeano,Spain,eano
2088,tabaco,tabaqueano,,eano
336,cuttack,katakia,India,ia
686,balangir,bolangiria,India,ia
909,balasore,baleswaria,India,ia
1196,koraput,koraputia,India,ia
1237,angul,angulia,India,ia
1736,samalpur,sambalpuria,India,ia
1258,antequera,antequerano,Spain,ano
2597,daraga,daragueño,,ano
558,huanuco,huanuqueano,Peru,ano
2598,davao city,davaoeño,,ano
3062,yauco,yaucano,Puerto Rico,ano
490,tacna,tacneano,Peru,ano
1208,mantova,mantovano,Italy,ano
505,campeche,campechano,Mexico,ano
1339,quintero,quinterano,Chile,ano
1808,cheste,chestano,Spain,ano
643,fusagasuga,fusagasugueano,Colombia,ano
2602,los angeles,angeleno,,ano
2600,legazpi,legazpeño,,ano
418,cainta,cainteano,Philippines,ano
1338,itamarandiba,itamarandibano,Brazil,ano
1492,atarfe,atarfeano,Spain,ano
1035,mayaguez,mayagzezano,Puerto Rico,ano
562,koronadal,koronadaleano,Philippines,ano
1414,mantua,mantovano,Cuba,ano
1034,kabacan,kabaqueano,Philippines,ano
476,petropolis,petropolitano,Brazil,ano
3183,pradera,praderano,Colombia,ano
642,yaritagua,yaritagueano,Venezuela,ano
583,paita,paiteano,Peru,ano
2890,paranaque,paranaqueano,Philippines,ano
633,calapan,calapeano,Philippines,ano
3069,san pedro,san pedrano,Mexico,ano
525,toluca,toluqueano,Mexico,ano
618,cagliari,cagliaritano,Italy,ano
400,cusco,cuzqueano,Peru,ano
567,guanare,guanareano,Venezuela,ano
1111,bacacay,bacacayano,Philippines,ano
489,sincelejo,sincelejano,Colombia,ano
2605,s o paulo,paulistano,,ano
422,iquitos,iquiteano,Peru,ano
2592,cebu,cebuano,,ano
1061,guinobatan,guinobateano,Philippines,ano
3009,mosquera,mosqueruno,Colombia,ano
1878,cebu,cebuano,,ano
3261,veracruz,veracruzano,Brazil,ano
1687,azcoitia,azcoitano,Spain,ano
1330,chancay,chancayano,Peru,ano
1514,baependi,baependiano,Brazil,ano
2595,cainta,cainteño,,ano
1345,jerez,jerezanos,Guatemala,ano
2596,cavite,caviteño,,ano
2591,bicol,bicolano,,ano
3222,la calera,calerano,Chile,ano
2606,tabaco,tabaqueño,,ano
1312,cachoeira,cachoeirano,Brazil,ano
1988,mogi guacu,guacuano,,ano
1476,serro,serrano,Brazil,ano
2993,dumaguete,dumagueteano,Philippines,ano
1982,masbate,masbateano,,ano
880,pompeu,pompeano,Brazil,ano
3172,villamaria,villamariano,Colombia,ano
1989,mogi mirim,mogimiriano,,ano
2593,belo horizonte,belo horizontino,,ano
2948,sete lagoas,sete lagoano,Brazil,ano
1109,santa rosa de cabal,santarrosano,Colombia,ano
650,salerno,salernitano,Italy,ano
382,mandaluyong city,mandaleano,Philippines,ano
1653,noceto,nocetano,Italy,ano
595,baliuag,baliwageano,Philippines,ano
399,veracruz,veracruzano,Mexico,ano
608,kidapawan,kidapaweano,Philippines,ano
3043,itabira,itabirano,Brazil,ano
2604,san pablo,san pableño,,ano
3026,piedecuesta,piedecuestano,Colombia,ano
2950,padova,padovano,Italy,ano
589,chetumal,chetumaleano,Mexico,ano
2050,ribeireo preto,ribeireo pretano,,ano
2601,ligao,ligaoeño,,ano
536,ayacucho,ayacuchano,Peru,ano
3205,tres pontas,trespontano,Brazil,ano
1533,zarumilla,zarumillano,Peru,ano
417,plovdiv,plovdivchanin,Bulgaria,chanin
425,butuan,butuanon,Philippines,on
430,iligan,iliganon,Philippines,on
507,tacloban,taclobanon,Philippines,on
542,pagadian,pagadianon,Philippines,on
700,bayugan,bayuganon,Philippines,on
711,catbalogan,catbaloganon,Philippines,on
719,sindangan,sindanganon,Philippines,on
742,nabunturan,nabunturanon,Philippines,on
2079,sorsogon,sorsoganon,,on
3053,catarman,catarmanon,Philippines,on
3065,borongan,boronganon,Philippines,on
3135,pototan,pototanon,Philippines,on
3168,cabatuan,cabatuanon,Philippines,on
3214,naguilian,naguilianon,Philippines,on
435,pokhara,pokhareli,Nepal,eli
458,thrissur,thrissurkaran,India,karan
516,kannur,kannurkaran,India,karan
851,attingal,attingalkaran,India,karan
1013,tellicherry,thalasserikaran,India,karan
1134,kanhangad,kanhangadukaran,India,karan
1370,vattalkundu,vathalagundukaran,India,karan
3073,varkkallai,varkalakkaran,India,karan
3074,paravurkambolam,paravurkkaran,India,karan
3086,karunagapalli,karunagapallikkaran,India,karan
3142,koyilandi,koyilandikaran,India,karan
3286,tiruchendur,tiruchendoorkaran,India,karan
3308,mudukulattur,mudukulatturkaran,India,karan
3309,attur,atturkaran,India,karan
3315,terkuvenganallur,terkuvenganallurkaran,India,karan
3330,sindalakkundu,sindalakkundukaran,India,karan
3339,kanur,kannurkaran,India,karan
483,strasbourg,strasbourgeois,France,ois
629,nimes,nimois,France,ois
640,lausanne,lausannois,Switzerland,ois
751,cannes,cannois,France,ois
817,valenciennes,valenciennois,France,ois
855,tozeur,tozeurois,Tunisia,ois
861,ermont,ermontois,France,ois
867,neuchatel,neuchatelois,Switzerland,ois
1065,brossard,brossardois,Canada,ois
1087,beziers,biterrois,France,ois
1233,sete,setois,France,ois
1307,nevers,neversois,France,ois
1361,agde,agathois,France,ois
1413,saint bruno de montarville,montarvillois,Canada,ois
1554,saint amand les eaux,amandinois,France,ois
1654,graulhet,graulhetois,France,ois
1661,florange,florangeois,France,ois
1711,abbeville,abbevillois,United States,ois
1837,algiers,algerois,,ois
1922,grenoble,grenoblois,,ois
1961,laval,lavalois,,ois
2048,reims,remois,,ois
2887,seychelles,seychellois,,ois
3091,coudekerque,coudekerquois,France,ois
3216,belle anse,belle ansois,Haiti,ois
3278,draguignan,dracenois,France,ois
491,lucena,lucenahin,Philippines,hin
606,sariaya,sariayahin,Philippines,hin
1115,gumaca,gumacahin,Philippines,hin
493,maastricht,maastrichtenaar,Netherlands,enaar
1033,helmond,helmondenaar,Netherlands,enaar
1375,boxmeer,boxmeerenaar,Netherlands,enaar
3184,roermond,roermondenaar,Netherlands,enaar
499,bergen,bergenser,Norway,ser
513,eindhoven,eindhovenaar,Netherlands,aar
581,nijmegen,nijmegenaar,Netherlands,aar
659,leiden,leidenaar,Netherlands,aar
765,assen,assenaar,Netherlands,aar
812,schagen,schagenaar,Netherlands,aar
874,diemen,diemenaar,Netherlands,aar
900,voorschoten,voorschotenaar,Netherlands,aar
1050,heerlen,heerlenaar,Netherlands,aar
1104,hoorn,hoornaar,Netherlands,aar
1185,terneuzen,terneuzenaar,Netherlands,aar
1217,zutphen,zutphenaar,Netherlands,aar
1229,veldhoven,veldhovenaar,Netherlands,aar
1241,rheden,rhedenaar,Netherlands,aar
1247,huizen,huizenaar,Netherlands,aar
1253,dronten,drontenaar,Netherlands,aar
1276,veghel,veghelaar,Netherlands,aar
1280,goes,goesenaar,Netherlands,aar
1281,raalte,raaltenaar,Netherlands,aar
1302,coevorden,coevordenaar,Netherlands,aar
1323,boxtel,boxelaar,Netherlands,aar
1332,vught,vughtenaar,Netherlands,aar
1343,uithoorn,uithoornaar,Netherlands,aar
1354,leusden,leusdenaar,Netherlands,aar
1418,baarn,baarnaar,Netherlands,aar
1427,putten,puttenaar,Netherlands,aar
1430,haaksbergen,haaksbergenaar,Netherlands,aar
1474,brummen,brummenaar,Netherlands,aar
1482,rhenen,rhenenaar,Netherlands,aar
1516,naarden,naardenaar,Netherlands,aar
1546,heumen,heumenaar,Netherlands,aar
1599,slochteren,slochtenaar,Netherlands,aar
1628,schoonhoven,schoonhovenaar,Netherlands,aar
1815,strijen,strijenaar,Netherlands,aar
2976,apeldoorn,apeldoornaar,Netherlands,aar
526,ormoc,ormocanon,Philippines,anon
1488,malabuyoc,malabuyocanon,Philippines,anon
3039,baybay,baybayanon,Philippines,anon
3208,guiuan,guiuananon,Philippines,anon
3223,donsol,donsolanon,Philippines,anon
547,talca,talquino,Chile,ino
548,trieste,triestino,Italy,ino
557,taranto,tarantino,Italy,ino
720,piacenza,piacentino,Italy,ino
750,aviles,avilesino,Spain,ino
776,coyhaique,coyhaiquino,Chile,ino
789,moyobamba,moyobambino,Peru,ino
906,fray bentos,fraybentino,Uruguay,ino
1038,rafaela,rafaelino,Argentina,ino
1057,chiguayante,chiguayantino,Chile,ino
1086,huaral,huaralino,Peru,ino
1090,palencia,palentino,Spain,ino
1131,sagunto,saguntino,Spain,ino
1236,vallenar,vallenarino,Chile,ino
1263,huaura,huaurino,Peru,ino
1400,mulchen,mulchenino,Chile,ino
1405,fidenza,fidentino,Italy,ino
1407,pacasmayo,pacasmayino,Peru,ino
1412,puerto varas,portovarino,Chile,ino
1437,quellon,quellonino,Chile,ino
1519,sangenjo,lilaino,Spain,ino
1581,putaendo,putaendino,Chile,ino
1639,tucapel,tucapelino,Chile,ino
1660,frutillar,frutillarino,Chile,ino
1708,alassio,alassino,Italy,ino
1843,angeles,angelino,,ino
2936,tarapoto,tarapotino,Peru,ino
2997,conchali,conchalino,Chile,ino
3024,san rafael,san rafaelino,Argentina,ino
3027,coronel,coronelino,Chile,ino
3054,tumbes,tumbesino,Peru,ino
3137,padre hurtado,padrehurtadino,Chile,ino
3140,juana diaz,juanadinos,Puerto Rico,ino
3254,limache,limachino,Chile,ino
3275,cauquenes,cauquenino,Chile,ino
572,breda,bredanaar,Netherlands,naar
675,dordrecht,dordtenaar,Netherlands,naar
755,spijkenisse,spijkenissenaar,Netherlands,naar
816,kerkrade,kerkradenaar,Netherlands,naar
885,heemstede,heemstedenaar,Netherlands,naar
895,oegstgeest,oegstgeestenaar,Netherlands,naar
1037,oss,ossenaar,Netherlands,naar
1246,tiel,tielenaar,Netherlands,naar
